fieldID	zoom	run	rerun	camcol	field	stripe	strip	a	b	c	d	e	f	node	incl	raMin	raMax	decMin	decMax	mu	nu	ra	dec	cx	cy	cz
1191503432598487040	12	4623	137	1	177	23	S	185.866348266602	0.000109982283902355	-5.55419212844299E-08	-1.26495134830475	-1.14762004344016E-08	0.000109988934127614	94.997581	32.499336	186.207576548274	186.013394703775	31.2285577207331	31.4554286571749	185.866698613573	-1.26563495533821	186.110379611379	31.3420450132094	-0.849225075342703	-0.0909115837353523	0.520145994266909
1191503432598487040	25	4623	137	1	177	23	S	185.866348266602	0.000109982283902355	-5.55419212844299E-08	-1.26495134830475	-1.14762004344016E-08	0.000109988934127614	94.997581	32.499336	186.207576548274	186.013394703775	31.2285577207331	31.4554286571749	185.866698613573	-1.26563495533821	186.110379611379	31.3420450132094	-0.849225075342703	-0.0909115837353523	0.520145994266909
1191503432598487040	50	4623	137	1	177	23	S	185.866348266602	0.000109982283902355	-5.55419212844299E-08	-1.26495134830475	-1.14762004344016E-08	0.000109988934127614	94.997581	32.499336	186.207576548274	186.013394703775	31.2285577207331	31.4554286571749	185.866698613573	-1.26563495533821	186.110379611379	31.3420450132094	-0.849225075342703	-0.0909115837353523	0.520145994266909
1191503432598552576	0	4623	137	1	178	23	S	186.016052246094	0.000109975517261773	-5.74108689477271E-08	-1.26496636867523	1.09968700812146E-11	0.00010998897778336	94.997581	32.499336	186.383013871422	186.188421931356	31.2267423850444	31.4538612925557	186.016402632238	-1.26565334264176	186.285604798492	31.3403535996522	-0.848958335884898	-0.0935099837094303	0.520120781048216
1191503432598552576	12	4623	137	1	178	23	S	186.016052246094	0.000109975517261773	-5.74108689477271E-08	-1.26496636867523	1.09968700812146E-11	0.00010998897778336	94.997581	32.499336	186.383013871422	186.188421931356	31.2267423850444	31.4538612925557	186.016402632238	-1.26565334264176	186.285604798492	31.3403535996522	-0.848958335884898	-0.0935099837094303	0.520120781048216
1191503432598552576	25	4623	137	1	178	23	S	186.016052246094	0.000109975517261773	-5.74108689477271E-08	-1.26496636867523	1.09968700812146E-11	0.00010998897778336	94.997581	32.499336	186.383013871422	186.188421931356	31.2267423850444	31.4538612925557	186.016402632238	-1.26565334264176	186.285604798492	31.3403535996522	-0.848958335884898	-0.0935099837094303	0.520120781048216
1191503432598552576	50	4623	137	1	178	23	S	186.016052246094	0.000109975517261773	-5.74108689477271E-08	-1.26496636867523	1.09968700812146E-11	0.00010998897778336	94.997581	32.499336	186.383013871422	186.188421931356	31.2267423850444	31.4538612925557	186.016402632238	-1.26565334264176	186.285604798492	31.3403535996522	-0.848958335884898	-0.0935099837094303	0.520120781048216
1191503432598618112	0	4623	137	1	179	23	S	186.165740966797	0.000109988286567386	-5.91812217010101E-08	-1.26495814323425	6.36587316193982E-09	0.000109988017356955	94.997581	32.499336	186.558460241158	186.363425076402	31.224696770276	31.4520689823385	186.166091392827	-1.26564847910153	186.460822693282	31.3384346788978	-0.848685709440065	-0.0961077267242021	0.520092175922807
1191503432598618112	12	4623	137	1	179	23	S	186.165740966797	0.000109988286567386	-5.91812217010101E-08	-1.26495814323425	6.36587316193982E-09	0.000109988017356955	94.997581	32.499336	186.558460241158	186.363425076402	31.224696770276	31.4520689823385	186.166091392827	-1.26564847910153	186.460822693282	31.3384346788978	-0.848685709440065	-0.0961077267242021	0.520092175922807
1191503432598618112	25	4623	137	1	179	23	S	186.165740966797	0.000109988286567386	-5.91812217010101E-08	-1.26495814323425	6.36587316193982E-09	0.000109988017356955	94.997581	32.499336	186.558460241158	186.363425076402	31.224696770276	31.4520689823385	186.166091392827	-1.26564847910153	186.460822693282	31.3384346788978	-0.848685709440065	-0.0961077267242021	0.520092175922807
1191503432598618112	50	4623	137	1	179	23	S	186.165740966797	0.000109988286567386	-5.91812217010101E-08	-1.26495814323425	6.36587316193982E-09	0.000109988017356955	94.997581	32.499336	186.558460241158	186.363425076402	31.224696770276	31.4520689823385	186.166091392827	-1.26564847910153	186.460822693282	31.3384346788978	-0.848685709440065	-0.0961077267242021	0.520092175922807
1191503432598683648	0	4623	137	1	180	23	S	186.315444946289	0.000110008542833384	-6.04759264888344E-08	-1.26495206356049	5.97166005533722E-09	0.000109988090116531	94.997581	32.499336	186.73392319529	186.538431825719	31.2223930694843	31.4500303712601	186.315795412354	-1.26564575695861	186.636057701738	31.3362634378615	-0.848407378453652	-0.0987051947552534	0.520059808785229
1191503432598683648	12	4623	137	1	180	23	S	186.315444946289	0.000110008542833384	-6.04759264888344E-08	-1.26495206356049	5.97166005533722E-09	0.000109988090116531	94.997581	32.499336	186.73392319529	186.538431825719	31.2223930694843	31.4500303712601	186.315795412354	-1.26564575695861	186.636057701738	31.3362634378615	-0.848407378453652	-0.0987051947552534	0.520059808785229
1191503432598683648	25	4623	137	1	180	23	S	186.315444946289	0.000110008542833384	-6.04759264888344E-08	-1.26495206356049	5.97166005533722E-09	0.000109988090116531	94.997581	32.499336	186.73392319529	186.538431825719	31.2223930694843	31.4500303712601	186.315795412354	-1.26564575695861	186.636057701738	31.3362634378615	-0.848407378453652	-0.0987051947552534	0.520059808785229
1191503432598683648	50	4623	137	1	180	23	S	186.315444946289	0.000110008542833384	-6.04759264888344E-08	-1.26495206356049	5.97166005533722E-09	0.000109988090116531	94.997581	32.499336	186.73392319529	186.538431825719	31.2223930694843	31.4500303712601	186.315795412354	-1.26564575695861	186.636057701738	31.3362634378615	-0.848407378453652	-0.0987051947552534	0.520059808785229
1191503432598749184	0	4623	137	1	181	23	S	186.46516418457	0.000110018452687655	-5.94469007353382E-08	-1.26494967937469	-4.92842655575032E-09	0.00010998854850186	94.997581	32.499336	186.909372920186	186.713439208538	31.2198245334829	31.4477424654294	186.465514690785	-1.26564672590942	186.811295431448	31.3338349883768	-0.848123409514366	-0.101302176249041	0.520023606503526
1191503432598749184	12	4623	137	1	181	23	S	186.46516418457	0.000110018452687655	-5.94469007353382E-08	-1.26494967937469	-4.92842655575032E-09	0.00010998854850186	94.997581	32.499336	186.909372920186	186.713439208538	31.2198245334829	31.4477424654294	186.465514690785	-1.26564672590942	186.811295431448	31.3338349883768	-0.848123409514366	-0.101302176249041	0.520023606503526
